"city","city_ascii","state_id","state_name","lat","lng","population","density"
"Ridgecrest","Ridgecrest","CA","California","35.6308","-117.6621","32684","535"
"Massillon","Massillon","OH","Ohio","40.7838","-81.5254","32584","663"
"Spanaway","Spanaway","WA","Washington","47.0979","-122.4233","32575","1437"
"Starkville","Starkville","MS","Mississippi","33.4608","-88.8297","32546","388"
"Harker Heights","Harker Heights","TX","Texas","31.0572","-97.6445","32421","799"
"Elk Grove Village","Elk Grove Village","IL","Illinois","42.0063","-87.9921","32400","1076"
"Kaysville","Kaysville","UT","Utah","41.0290","-111.9456","32390","1190"
"Lawndale","Lawndale","CA","California","33.8884","-118.3531","32389","6334"
"Southlake","Southlake","TX","Texas","32.9545","-97.1503","32376","572"
"Ferry Pass","Ferry Pass","FL","Florida","30.5203","-87.1903","32376","896"
"Savage","Savage","MN","Minnesota","44.7544","-93.3631","32362","801"
"Des Moines","Des Moines","WA","Washington","47.3915","-122.3157","32348","1947"
"Bethel Park","Bethel Park","PA","Pennsylvania","40.3239","-80.0364","32345","1070"
"Princeton","Princeton","FL","Florida","25.5396","-80.3971","32299","1680"
"Dania Beach","Dania Beach","FL","Florida","26.0594","-80.1637","32271","1595"
"Spring Valley","Spring Valley","NY","New York","41.1151","-74.0486","32261","6195"
"Bowling Green","Bowling Green","OH","Ohio","41.3773","-83.6500","32249","960"
"Springfield","Springfield","VA","Virginia","38.7809","-77.1839","32222","1584"
"East Lake","East Lake","FL","Florida","28.1205","-82.6868","32169","432"
"College Park","College Park","MD","Maryland","38.9960","-76.9337","32163","2213"
"Coos Bay","Coos Bay","OR","Oregon","43.3789","-124.2330","32159","594"
"Smithfield","Smithfield","NC","North Carolina","35.5131","-78.3497","32156","420"
"Rome","Rome","NY","New York","43.2260","-75.4909","32148","165"
"Clearfield","Clearfield","UT","Utah","41.1030","-112.0237","32118","1607"
"Liberty","Liberty","MO","Missouri","39.2394","-94.4191","32100","429"
"Eastpointe","Eastpointe","MI","Michigan","42.4657","-82.9461","32081","2401"
"Franklin Square","Franklin Square","NY","New York","40.7002","-73.6775","32055","4300"
"Pekin","Pekin","IL","Illinois","40.5679","-89.6262","32045","848"
"Westlake","Westlake","OH","Ohio","41.4524","-81.9295","32032","776"
"Uniondale","Uniondale","NY","New York","40.7176","-73.5947","32007","2164"
"Chillicothe","Chillicothe","OH","Ohio","39.3393","-82.9937","31999","804"
"La Verne","La Verne","CA","California","34.1208","-117.7702","31974","1463"
"Juneau","Juneau","AK","Alaska","58.4546","-134.1739","31974","4"
"Prairieville","Prairieville","LA","Louisiana","30.3151","-90.9571","31974","561"
"Placerville","Placerville","CA","California","38.7308","-120.7978","31943","738"
"Bel Air North","Bel Air North","MD","Maryland","39.5544","-76.3733","31941","772"
"Redan","Redan","GA","Georgia","33.7394","-84.1644","31873","1522"
"Martinsville","Martinsville","VA","Virginia","36.6827","-79.8636","31871","442"
"Pueblo West","Pueblo West","CO","Colorado","38.3551","-104.7266","31849","174"
"Garfield","Garfield","NJ","New Jersey","40.8791","-74.1085","31802","5816"
"Fallbrook","Fallbrook","CA","California","33.3693","-117.2259","31701","697"
"Spring Valley","Spring Valley","CA","California","32.7316","-116.9766","31650","1664"
"Hopkinsville","Hopkinsville","KY","Kentucky","36.8386","-87.4776","31569","372"
"Rochester","Rochester","NH","New Hampshire","43.2990","-70.9787","31526","270"
"South Riding","South Riding","VA","Virginia","38.9120","-77.5132","31515","1775"
"Centereach","Centereach","NY","New York","40.8696","-73.0808","31493","1392"
"Milledgeville","Milledgeville","GA","Georgia","33.0874","-83.2414","31471","355"
"Syracuse","Syracuse","UT","Utah","41.0860","-112.0698","31458","1195"
"Parkville","Parkville","MD","Maryland","39.3832","-76.5519","31451","2834"
"Sherwood","Sherwood","AR","Arkansas","34.8508","-92.2028","31436","582"
"Garner","Garner","NC","North Carolina","35.6934","-78.6196","31407","762"
"Key West","Key West","FL","Florida","24.5637","-81.7768","31401","1665"
"Miami Lakes","Miami Lakes","FL","Florida","25.9125","-80.3214","31367","2140"
"Petersburg","Petersburg","VA","Virginia","37.2043","-77.3913","31346","532"
"North Olmsted","North Olmsted","OH","Ohio","41.4150","-81.9190","31341","1036"
"Kahului","Kahului","HI","Hawaii","20.8715","-156.4603","31336","841"
"Wheat Ridge","Wheat Ridge","CO","Colorado","39.7728","-105.1029","31324","1294"
"Fruit Cove","Fruit Cove","FL","Florida","30.0972","-81.6176","31314","752"
"Cibolo","Cibolo","TX","Texas","29.5639","-98.2123","31281","584"
"Alliance","Alliance","OH","Ohio","40.9107","-81.1189","31255","919"
"Banning","Banning","CA","California","33.9460","-116.8992","31221","518"
"Laguna Hills","Laguna Hills","CA","California","33.5920","-117.6992","31207","1824"
"Central Islip","Central Islip","NY","New York","40.7837","-73.1945","31205","1694"
"Athens","Athens","AL","Alabama","34.7847","-86.9510","31187","265"
"Princeton","Princeton","NJ","New Jersey","40.3563","-74.6693","31187","670"
"Orcutt","Orcutt","CA","California","34.8668","-120.4269","31118","1079"
"Naugatuck","Naugatuck","CT","Connecticut","41.4890","-73.0518","31108","736"
"Eldersburg","Eldersburg","MD","Maryland","39.4041","-76.9529","31108","301"
"Columbus","Columbus","MS","Mississippi","33.5088","-88.4096","31084","363"
"Mundelein","Mundelein","IL","Illinois","42.2691","-88.0101","31051","1257"
"Fair Oaks","Fair Oaks","CA","California","38.6504","-121.2497","31032","1102"
"San Pablo","San Pablo","CA","California","37.9628","-122.3425","30990","4550"
"Rexburg","Rexburg","ID","Idaho","43.8224","-111.7920","30979","1134"
"Nogales","Nogales","AZ","Arizona","31.3624","-110.9336","30917","372"
"Nicholasville","Nicholasville","KY","Kentucky","37.8902","-84.5669","30912","823"
"Goleta","Goleta","CA","California","34.4360","-119.8596","30911","1520"
"Opelika","Opelika","AL","Alabama","32.6612","-85.3769","30908","202"
"Algonquin","Algonquin","IL","Illinois","42.1629","-88.3159","30897","969"
"Marrero","Marrero","LA","Louisiana","29.8871","-90.1127","30894","1656"
"Burlingame","Burlingame","CA","California","37.5860","-122.3669","30889","2707"
"Aiken","Aiken","SC","South Carolina","33.5310","-81.7268","30869","565"
"Lawrenceville","Lawrenceville","GA","Georgia","33.9523","-83.9931","30834","874"
"Winter Park","Winter Park","FL","Florida","28.5987","-81.3438","30825","1361"
"Lake Magdalene","Lake Magdalene","FL","Florida","28.0875","-82.4791","30805","1164"
"Fitchburg","Fitchburg","WI","Wisconsin","42.9859","-89.4255","30792","340"
"Granger","Granger","IN","Indiana","41.7373","-86.1350","30776","477"
"Wooster","Wooster","OH","Ohio","40.8171","-81.9335","30750","597"
"Fountain","Fountain","CO","Colorado","38.6886","-104.6829","30735","527"
"Brooklyn Center","Brooklyn Center","MN","Minnesota","45.0681","-93.3162","30690","1480"
"Kerrville","Kerrville","TX","Texas","30.0398","-99.1320","30623","418"
"Barstow","Barstow","CA","California","34.8661","-117.0472","30605","223"
"Oceanside","Oceanside","NY","New York","40.6328","-73.6364","30604","2397"
"Canton","Canton","GA","Georgia","34.2467","-84.4900","30528","649"
"Auburn","Auburn","NY","New York","42.9338","-76.5684","30507","1212"
"Crown Point","Crown Point","IN","Indiana","41.4141","-87.3457","30488","660"
"Windsor","Windsor","CO","Colorado","40.4693","-104.9213","30477","469"
"Lakeside","Lakeside","FL","Florida","30.1356","-81.7674","30458","874"
"Gloucester","Gloucester","MA","Massachusetts","42.6260","-70.6897","30430","448"
"Gurnee","Gurnee","IL","Illinois","42.3708","-87.9392","30378","868"
"Orangeburg","Orangeburg","SC","South Carolina","33.4928","-80.8670","30365","542"
"Holladay","Holladay","UT","Utah","40.6599","-111.8226","30325","1379"
"Fuquay-Varina","Fuquay-Varina","NC","North Carolina","35.5958","-78.7794","30324","770"
"Chamblee","Chamblee","GA","Georgia","33.8842","-84.3008","30307","1518"
"Carney","Carney","MD","Maryland","39.4050","-76.5236","30289","1677"
"Peru","Peru","IL","Illinois","41.3484","-89.1370","30287","390"
"Sterling","Sterling","VA","Virginia","39.0052","-77.4050","30271","2143"
"Cornelius","Cornelius","NC","North Carolina","35.4725","-80.8801","30257","907"
"North Tonawanda","North Tonawanda","NY","New York","43.0457","-78.8659","30245","1156"
"Long Branch","Long Branch","NJ","New Jersey","40.2965","-73.9915","30241","2278"
"Santa Paula","Santa Paula","CA","California","34.3521","-119.0698","30233","2534"
"Los Gatos","Los Gatos","CA","California","37.2303","-121.9560","30222","1024"
"South Lake Tahoe","South Lake Tahoe","CA","California","38.9393","-119.9828","30188","844"
"San Carlos","San Carlos","CA","California","37.4982","-122.2680","30185","2113"
"Clinton","Clinton","IA","Iowa","41.8434","-90.2408","30177","275"
"Saratoga","Saratoga","CA","California","37.2684","-122.0263","30153","911"
"Los Altos","Los Altos","CA","California","37.3685","-122.0966","30089","1792"
"Ballwin","Ballwin","MO","Missouri","38.5951","-90.5500","30082","1293"
"Atascadero","Atascadero","CA","California","35.4827","-120.6858","30075","445"
"North Royalton","North Royalton","OH","Ohio","41.3138","-81.7452","30068","544"
"Somerset","Somerset","KY","Kentucky","37.0815","-84.6091","30053","381"
"Seguin","Seguin","TX","Texas","29.5889","-97.9671","29992","304"
"Fortuna Foothills","Fortuna Foothills","AZ","Arizona","32.6616","-114.3973","29955","288"
"Milford Mill","Milford Mill","MD","Maryland","39.3444","-76.7668","29926","1663"
"Pasadena","Pasadena","MD","Maryland","39.1552","-76.5537","29918","773"
"Stockbridge","Stockbridge","GA","Georgia","33.5253","-84.2294","29904","844"
"East Liverpool","East Liverpool","OH","Ohio","40.6333","-80.5677","29898","870"
"Rahway","Rahway","NJ","New Jersey","40.6077","-74.2807","29895","2962"
"Madison Heights","Madison Heights","MI","Michigan","42.5073","-83.1034","29886","1628"
"Williston","Williston","ND","North Dakota","48.1814","-103.6364","29844","483"
"Bay Shore","Bay Shore","NY","New York","40.7317","-73.2505","29799","2130"
"Eagle","Eagle","ID","Idaho","43.7223","-116.3862","29796","376"
